Fecha,C_Total,CPD_Total,C_France,CPD_France,C_Germany,CPD_Germany,C_Iran,CPD_Iran,C_Italy,CPD_Italy,C_Turkey,CPD_Turkey,M_Total,MPD_Total,M_France,MPD_France,M_Germany,MPD_Germany,M_Iran,MPD_Iran,M_Italy,MPD_Italy,M_Turkey,MPD_Turkey
12-03-20,19764,4528,2281,0,2369,802,10075,1075,15113,2651,1,0,1498,266,48,0,5,2,429,75,1016,189,0,0
13-03-20,24388,5913,3661,1380,3062,693,11364,1289,17660,2547,5,4,2230,366,79,31,5,0,514,85,1266,250,0,0
14-03-20,29426,6403,4469,808,3795,733,12729,1365,21157,3497,5,0,2438,287,91,12,8,3,611,97,1441,175,0,0
15-03-20,34090,5873,4499,30,4838,1043,13938,1209,24747,3590,6,1,3121,485,91,0,12,4,724,113,1809,368,0,0
16-03-20,40643,7606,6633,2134,6012,1174,14991,1053,27980,3233,18,12,3706,535,148,57,12,0,853,129,2158,349,0,0
17-03-20,46361,6896,7652,1019,7156,1144,16169,1178,31506,3526,47,29,4132,481,148,0,12,0,988,135,2503,345,1,1
18-03-20,53052,7883,9043,1391,8198,1042,17361,1192,35713,4207,98,51,4896,622,148,0,12,0,1135,147,2978,475,1,0
19-03-20,63097,11091,10871,1828,10999,2801,18407,1046,41035,5322,192,94,5634,681,243,95,20,8,1284,149,3405,427,3,2
20-03-20,73949,12089,12612,1741,13957,2958,19644,1237,47021,5986,359,167,6944,995,450,207,31,11,1433,149,4032,627,4,1
21-03-20,85192,12209,14282,1670,16662,2705,20610,966,53578,6557,670,311,8043,1049,562,112,47,16,1556,123,4825,793,9,5
22-03-20,95517,11353,16533,2251,18610,1948,21638,1028,59138,5560,1236,566,8820,921,674,112,55,8,1685,129,5476,651,30,21
23-03-20,107984,13878,19856,3323,22672,4062,23049,1411,63927,4789,1529,293,9817,952,860,186,86,31,1812,127,6077,601,37,7
24-03-20,120538,14316,22054,2198,27436,4764,24811,1762,69176,5249,1872,343,11145,1140,1100,240,114,28,1934,122,6820,743,44,7
25-03-20,133340,15008,24967,2913,31554,4118,27017,2206,74386,5210,2433,561,12211,1107,1331,231,149,35,2077,143,7503,683,59,15
26-03-20,149582,18631,28856,3889,36508,4954,29406,2389,80589,6203,3629,1196,13699,1298,1695,364,198,49,2234,157,8215,712,75,16
27-03-20,167093,20437,32609,3753,42288,5780,32332,2926,86498,5909,5698,2069,15268,1434,1994,299,253,55,2378,144,9134,919,92,17
28-03-20,185618,21601,37162,4553,48582,6294,35408,3076,92472,5974,7402,1704,16701,1433,2311,317,325,72,2517,139,10023,889,108,16
29-03-20,199214,16497,39761,2599,52547,3965,38309,2901,97689,5217,9217,1815,17777,1258,2603,292,389,64,2640,123,10779,756,131,23
30-03-20,213893,17865,44029,4268,57298,4751,41495,3186,101739,4050,10827,1610,19403,1449,3020,417,455,66,2757,117,11591,812,168,37
31-03-20,232815,22032,51579,7550,61913,4615,44605,3110,105792,4053,13531,2704,21243,1649,3517,497,583,128,2898,141,12428,837,214,46
01-04-20,250281,20454,56662,5083,67366,5453,47593,2988,110574,4782,15679,2148,24231,2327,4767,1250,732,149,3036,138,13155,727,277,63
02-04-20,266603,19197,59704,3042,73522,6156,50468,2875,115242,4668,18135,2456,25312,1712,5376,609,872,140,3160,124,13915,760,356,79
03-04-20,286332,22444,65888,6184,79696,6174,53183,2715,119827,4585,20921,2786,28078,2234,6496,1120,1017,145,3294,134,14681,766,425,69
04-04-20,304014,20242,69670,3782,85778,6082,55743,2560,124632,4805,23934,3013,30053,2108,7548,1052,1158,141,3452,158,15362,681,501,76
05-04-20,326637,25106,78906,9236,91714,5936,58226,2483,128948,4316,27069,3135,30850,1451,8066,518,1342,184,3603,151,15887,525,574,73
06-04-20,337438,13075,79283,377,95391,3677,60500,2274,132547,3599,30217,3148,32941,1772,8899,833,1434,92,3739,136,16523,636,649,75
07-04-20,356437,21088,87517,8234,99225,3834,62589,2089,135586,3039,34109,3892,35972,2402,10315,1416,1607,173,3872,133,17127,604,725,76
08-04-20,373496,19056,92620,5103,103228,4003,64586,1997,139422,3836,38226,4117,36649,1545,10856,541,1861,254,3993,121,17669,542,812,87
09-04-20,392804,20942,98694,6074,108202,4974,66220,1634,143626,4204,42282,4056,39913,2409,12196,1340,2107,246,4110,117,18279,610,908,96
10-04-20,413248,22416,105117,6423,113525,5323,68192,1972,147577,3951,47029,4747,41584,2041,13181,985,2373,266,4232,122,18849,570,1006,98
11-04-20,432446,21035,110350,5233,117658,4133,70029,1837,152271,4694,52167,5138,42836,1645,13816,635,2544,171,4357,125,19468,619,1101,95
12-04-20,451410,20621,117612,7262,120479,2821,71686,1657,156363,4092,56956,4789,43859,1335,14377,561,2673,129,4474,117,19899,431,1198,97
